,est_diameter_max,relative_velocity,miss_distance,absolute_magnitude,hazardous
37550,1.1325046106,63933.6857953118,64858386.36570768,18.6,0
37553,0.3750075218,52397.2177332818,17367193.77477155,21.0,1
37557,0.0130028927,96866.5314403562,59024046.02364104,28.3,0
37559,0.1081533507,52676.1411118812,57379364.45281788,23.7,0
37566,0.1032856481,97028.7208042932,6337976.366650998,23.8,0
37568,0.0136157002,71664.5665684318,461393.759876916,28.2,0
37569,0.0358129403,49910.073302088,732177.094497592,26.1,0
37578,0.0494356193,16187.7551554398,18627732.48964624,25.4,0
37580,0.5675968529,101000.4216480414,47669015.09106904,20.1,0
37586,0.0215794305,42479.0549052235,664311.856214435,27.2,0
37587,0.0284472297,27041.925945612,1011250.006129856,26.6,0
37590,0.0206081961,99742.4588845562,68545404.6861917,27.3,0
37592,0.4508582062,107962.9031382973,51224078.72538638,20.6,0
37599,0.3119176705,17786.0865293267,39222486.5915431,21.4,0
37600,0.0311917671,50643.7394214265,9832973.59884403,26.4,0
37601,0.0594346868,18404.0533334084,4833916.958185504,25.0,0
37603,0.5675968529,22991.6301228869,70784853.62389559,20.1,0
37610,1.3615700154,32453.7794553923,58105260.03747268,18.2,0
37612,0.0430566244,66421.4567160622,784853.152406891,25.7,0
37613,0.3266178974,76812.3094429912,22164244.8212202,21.3,1
37620,1.4929318344,69739.8765833149,59356464.54836936,18.0,0
37633,0.0651688382,44859.3915909971,14397912.719101887,24.8,0
37635,0.0567596853,37765.5012373774,30546327.800012447,25.1,0
37644,0.0899580388,58754.0103121678,4189050.0275909,24.1,0
37653,1.8367074128,58518.5515037748,51908450.44422507,17.55,0
37656,0.1185877909,67923.9997267482,13587728.323925557,23.5,0
37664,0.7835017643,85216.051484847,70326457.32662028,19.4,0
37665,0.0430566244,78464.004621188,1739012.871397997,25.7,0
37666,0.0411187571,13951.0898209626,13422836.405444829,25.8,0
37668,0.411187571,106322.6925921146,52898847.9134969,20.8,1
37669,0.0594346868,68947.9404290377,69714492.4728403,25.0,0
37671,0.4613600429,83952.3591125017,30106860.839298025,20.55,1
37673,0.0941976306,40606.8695957966,22612480.43116509,24.0,0
37674,0.0215794305,46700.2082757222,1387239.553766519,27.2,0
37678,0.8242139842,114893.7277668444,55782168.50716629,19.29,1
37682,0.1241766613,8521.3630677767,37320864.12660824,23.4,0
37683,0.3119176705,27963.2911404277,68140068.12048288,21.4,0
37684,0.0986370281,37440.2551115783,5685664.353980743,23.9,0
37685,0.023661375,39933.2749860745,38990077.30966611,27.0,0
37687,0.0986370281,57771.7602438794,71572077.45374838,23.9,0
37688,0.0594346868,5224.3407599824,16836997.545955922,25.0,0
37693,0.0594346868,55774.009501254,55537963.07420492,25.0,0
37705,0.0567596853,59153.6635695454,4924028.357164029,25.1,0
37707,0.0783501764,58911.8417164667,59905905.84005048,24.4,0
37709,2.1381589077,41336.4313933344,46358395.99092742,17.22,0
37713,0.1968067451,17671.1391187847,22616678.14739729,22.4,0
37715,0.0859092601,45475.6985502955,22051700.922439422,24.2,0
37716,0.0494356193,20407.5308849045,10874278.909121336,25.4,0
37717,0.0783501764,32314.8949009191,22346186.01999036,24.4,0
37720,0.1032856481,81807.071019107,48858256.47836723,23.8,0
37721,0.0594346868,60158.608038662,63741589.61693036,25.0,0
37728,0.2259643771,22552.7710704979,18947477.17258688,22.1,0
37729,0.0517654482,59498.011732343,7054293.39416693,25.3,0
37732,0.3281254972,47280.3485022313,46911952.166500136,21.29,0
37738,1.2417666126,132280.0279535434,15764392.845724672,18.4,0
37742,0.6516883822,77309.9770496958,69493570.15316999,19.8,0
37743,0.0284472297,32063.9021684103,6198204.309149403,26.6,0
37752,0.0820427065,66127.6693878196,22360732.976708308,24.3,0
37765,0.0572848762,72523.2149245807,68936411.34673214,25.08,0
37773,0.0820427065,43007.6992581806,36662007.311844,24.3,0
37774,0.0986370281,33058.3814510208,72458084.91598293,23.9,0
37785,0.7835017643,9933.9016532057,52692587.41178912,19.4,0
37800,0.0859092601,31664.1355831603,11083759.504980868,24.2,0
37801,0.0941976306,7659.9655628925,23907414.493832946,24.0,0
37808,0.6516883822,76935.5849191817,71421395.32830618,19.8,0
37809,0.1714115092,35182.733278081,66436697.18096898,22.7,0
37810,0.1714115092,100938.4283234052,32140972.683106497,22.7,0
37811,0.2366137501,64873.9165611431,53007394.31783468,22.0,0
37817,0.0820427065,40954.0784641726,6482166.258690711,24.3,0
37820,0.0292442157,27761.148380496,61823300.558017306,26.54,0
37824,0.0682401509,4113.2246663385,26546191.60823412,24.7,0
37828,0.1563291544,77054.8923070189,52104833.1780942,22.9,0
37841,0.0542050786,52774.3933314034,44841635.48394234,25.2,0
37842,0.0326617897,59485.3502640516,47631256.54380167,26.3,0
37843,0.0941976306,62130.5440277562,37502346.5236709,24.0,0
37850,0.0411187571,49855.0432493164,2758097.347899327,25.8,0
37856,0.0171411509,75604.1903966887,69159426.77996035,27.7,0
37857,0.3342258056,104163.8360327464,71352989.08428594,21.25,0
37859,1.330576898,56782.6333319923,52101014.43814607,18.25,0
37863,0.2454934893,17735.0919414958,14632756.287439087,21.92,0
37866,0.2594418179,74432.1057732346,54996821.44243181,21.8,0
37868,0.0494356193,52996.7757477802,71728065.84555903,25.4,0
37870,0.0494356193,21596.7831559214,16041130.310209433,25.4,0
37877,0.2844722965,40809.1156524857,26590963.19892857,21.6,0
37890,0.250057554,66222.521742281,8961050.656391667,21.88,1
37891,0.0284472297,33745.2777941415,3543622.598656767,26.6,0
37894,0.0196806745,74244.8974373762,42690265.82271068,27.4,0
37904,0.0859092601,12897.3788933343,66595649.45065944,24.2,0
37905,0.0358129403,49392.6207589537,54254686.81451128,26.1,0
